open_time,close_time,open,high,low,close,volume,trades
1756944000000,1756947599999,111670.0,112171.0,111564.0,112045.0,1023.21317,7371
1756947600000,1756951199999,112045.0,112045.0,111583.0,111916.0,1623.21419,7949
1756951200000,1756954799999,111917.0,111946.0,111341.0,111406.0,1381.55504,8023
1756954800000,1756958399999,111406.0,111715.0,111111.0,111112.0,1770.58761,9648
1756958400000,1756961999999,111122.0,111294.0,110880.0,110885.0,598.59641,6054
1756962000000,1756965599999,110885.0,110891.0,110548.0,110650.0,1746.71025,11273
1756965600000,1756969199999,110650.0,110721.0,110262.0,110385.0,1772.54488,9916
1756969200000,1756972799999,110386.0,110626.0,110323.0,110447.0,828.88870,6861
1756972800000,1756976399999,110448.0,110848.0,110410.0,110630.0,878.99541,8135
1756976400000,1756979999999,110632.0,110843.0,110631.0,110803.0,549.79354,5397
1756980000000,1756983599999,110803.0,111128.0,110631.0,110633.0,426.16964,7084
1756983600000,1756987199999,110633.0,111031.0,110521.0,110787.0,773.38113,7516
1756987200000,1756990799999,110788.0,111101.0,110506.0,110916.0,820.43505,9462
1756990800000,1756994399999,110916.0,110957.0,110217.0,110465.0,1506.03334,14332
1756994400000,1756997999999,110465.0,110533.0,109707.0,109845.0,3427.12657,27513
1756998000000,1757001599999,109845.0,109868.0,109324.0,109530.0,2061.19125,18911
1757001600000,1757005199999,109530.0,109702.0,109363.0,109437.0,997.69090,12012
1757005200000,1757008799999,109438.0,109918.0,109420.0,109786.0,1011.77910,11124
1757008800000,1757012399999,109787.0,110207.0,109699.0,109972.0,1074.68779,10908
1757012400000,1757015999999,109972.0,110116.0,109726.0,109796.0,441.93747,7529
1757016000000,1757019599999,109805.0,110417.0,109759.0,110416.0,1028.43679,9581
1757019600000,1757023199999,110416.0,110562.0,110328.0,110501.0,489.78932,5975
1757023200000,1757026799999,110502.0,111606.0,110488.0,111503.0,1586.69724,11983
1757026800000,1757030399999,111505.0,111798.0,110610.0,110741.0,1577.50216,14077
