open_time,close_time,open,high,low,close,volume,trades
1742637600000,1742641199999,1996.5,1998.0,1995.5,1995.9,129.5525,95
1742641200000,1742644799999,1995.6,1996.5,1987.1,1989.4,1001.8200,675
1742644800000,1742648399999,1989.7,1995.3,1987.8,1994.2,1795.1622,1293
1742648400000,1742651999999,1994.1,1996.6,1984.7,1989.4,4951.8177,3566
1742652000000,1742655599999,1989.5,1992.0,1982.6,1983.4,3839.1226,3311
1742655600000,1742659199999,1983.3,1987.4,1980.4,1985.5,4106.4941,4059
1742659200000,1742662799999,1985.5,1988.8,1981.4,1983.9,1755.3305,1209
1742662800000,1742666399999,1984.0,1993.6,1984.0,1991.7,1361.2520,1400
1742666400000,1742669999999,1991.7,1998.3,1990.1,1994.6,2275.5689,1564
1742670000000,1742673599999,1994.6,1997.5,1992.8,1995.1,1598.5723,709
1742673600000,1742677199999,1995.0,2003.0,1992.4,1992.6,1266.4738,1113
1742677200000,1742680799999,1992.4,1994.0,1983.0,1985.2,1250.3814,1216
1742680800000,1742684399999,1985.1,1989.3,1983.2,1984.1,785.4164,548
1742684400000,1742687999999,1983.7,1984.8,1974.0,1979.6,3526.5746,2261
1742688000000,1742691599999,1979.6,1985.6,1975.5,1984.4,1111.6433,1228
1742691600000,1742695199999,1984.4,1997.9,1983.8,1997.7,1361.2533,1790
1742695200000,1742698799999,1997.2,2002.4,1992.4,2000.9,1336.8625,1225
1742698800000,1742702399999,2001.0,2008.4,1995.5,2007.5,2135.8606,1565
1742702400000,1742705999999,2007.5,2007.7,1997.7,1998.9,5496.0450,2726
1742706000000,1742709599999,1998.9,2000.4,1991.3,1998.9,2868.2177,1717
1742709600000,1742713199999,1998.9,2004.9,1996.8,2002.0,1375.3384,845
1742713200000,1742716799999,2002.1,2018.9,2001.0,2007.4,3305.8912,3152
1742716800000,1742720399999,2007.8,2016.0,2005.3,2009.2,1055.6458,1327
1742720400000,1742723999999,2009.3,2015.6,2009.3,2014.0,1007.9541,1037
1742724000000,1742727599999,2014.0,2019.9,2011.5,2012.8,2735.1981,2467
1742727600000,1742731199999,2012.9,2019.6,2002.2,2007.4,4651.4235,3913
1742731200000,1742734799999,2007.4,2013.0,2006.1,2009.2,2262.3631,2628
1742734800000,1742738399999,2009.3,2019.9,2004.5,2018.2,4494.8203,4543
1742738400000,1742741999999,2018.3,2020.0,2002.2,2004.1,4829.7360,5020
1742742000000,1742745599999,2004.1,2011.7,2003.3,2006.5,2760.8847,2412
1742745600000,1742749199999,2006.6,2007.5,1995.7,1996.9,3049.8468,1716
1742749200000,1742752799999,1996.9,2002.2,1986.5,1992.1,2925.3416,2049
1742752800000,1742756399999,1992.0,1998.7,1989.9,1996.5,2049.4296,2128
1742756400000,1742759999999,1996.4,1997.2,1992.4,1995.7,1744.7544,851
1742760000000,1742763599999,1995.5,1999.9,1991.6,1991.7,1266.5346,738
1742763600000,1742767199999,1991.6,1995.5,1985.8,1994.4,2534.9554,2475
1742767200000,1742770799999,1994.2,1997.4,1980.0,1986.7,2745.1422,3043
1742770800000,1742774399999,1986.7,2006.0,1986.7,2005.4,2519.3797,2196
1742774400000,1742777999999,2005.5,2020.0,1996.1,1997.6,7960.9848,5239
1742778000000,1742781599999,1997.5,1997.5,1976.3,1979.2,5312.3657,4202
1742781600000,1742785199999,1979.2,1992.5,1977.4,1991.4,1625.5897,2129
1742785200000,1742788799999,1991.0,2016.2,1989.3,2014.0,5461.0226,4042
1742788800000,1742792399999,2014.0,2042.0,2013.9,2038.9,7833.3655,5256
1742792400000,1742795999999,2038.9,2053.6,2038.2,2047.6,5077.7919,4222
1742796000000,1742799599999,2047.6,2072.4,2047.6,2065.4,6870.6937,5966
1742799600000,1742803199999,2065.2,2078.2,2065.1,2068.1,5069.4107,3660
1742803200000,1742806799999,2068.1,2095.2,2068.1,2089.7,4611.7088,4826
1742806800000,1742810399999,2089.6,2094.6,2084.1,2093.6,1826.5948,1783
1742810400000,1742813999999,2093.4,2097.7,2087.4,2092.5,2799.5291,1402
1742814000000,1742817599999,2093.3,2102.0,2086.5,2091.2,3778.3566,1288
1742817600000,1742821199999,2091.4,2094.0,2077.4,2083.1,2773.9223,1216
1742821200000,1742824799999,2083.0,2086.5,2072.7,2081.3,4497.6308,3706
1742824800000,1742828399999,2081.3,2101.5,2076.3,2079.9,7013.8668,7340
1742828400000,1742831999999,2079.8,2089.8,2074.4,2089.0,3996.9169,3652
1742832000000,1742835599999,2089.0,2092.0,2067.2,2078.3,4973.0706,3461
1742835600000,1742839199999,2078.3,2091.8,2076.3,2087.4,2029.7202,1816
1742839200000,1742842799999,2087.4,2099.9,2080.5,2096.4,4663.8827,2235
1742842800000,1742846399999,2096.5,2096.9,2084.1,2087.5,4537.7394,2441
1742846400000,1742849999999,2087.6,2094.4,2081.5,2084.4,1427.7418,1063
1742850000000,1742853599999,2084.3,2090.9,2079.6,2082.4,1262.3902,916
1742853600000,1742857199999,2082.3,2086.2,2075.0,2076.2,1590.7094,899
1742857200000,1742860799999,2076.2,2082.2,2067.2,2080.1,1858.2546,1875
1742860800000,1742864399999,2080.0,2097.0,2076.4,2085.6,2846.8684,1844
1742864400000,1742867999999,2085.2,2085.2,2055.5,2063.8,4198.3877,2568
1742868000000,1742871599999,2064.2,2068.9,2061.5,2061.6,1492.0565,1616
1742871600000,1742875199999,2061.6,2064.4,2040.9,2042.2,5503.5027,3326
1742875200000,1742878799999,2042.2,2049.2,2036.7,2045.3,3441.6651,2535
1742878800000,1742882399999,2045.1,2050.8,2039.9,2047.6,1543.5527,1519
1742882400000,1742885999999,2047.7,2059.5,2046.8,2054.7,3196.5616,2571
1742886000000,1742889599999,2054.8,2065.0,2050.0,2055.0,3550.1532,2888
1742889600000,1742893199999,2055.0,2063.2,2052.9,2060.3,2885.2230,1830
