open_time,close_time,open,high,low,close,volume,trades
1742637600000,1742641199999,84414.0,84415.0,84413.0,84415.0,0.05047,22
1742641200000,1742644799999,84415.0,84425.0,84203.0,84235.0,1.79905,259
1742644800000,1742648399999,84236.0,84288.0,84193.0,84225.0,0.19578,107
1742648400000,1742651999999,84221.0,84234.0,84055.0,84163.0,0.08048,55
1742652000000,1742655599999,84165.0,84177.0,83995.0,84008.0,0.27031,157
1742655600000,1742659199999,84004.0,84112.0,83964.0,84103.0,12.28688,685
1742659200000,1742662799999,84080.0,84143.0,84034.0,84138.0,11.97675,570
1742662800000,1742666399999,84134.0,84262.0,84108.0,84231.0,7.93383,360
1742666400000,1742669999999,84241.0,84322.0,84181.0,84248.0,6.54186,284
1742670000000,1742673599999,84235.0,84268.0,84154.0,84163.0,0.78316,59
1742673600000,1742677199999,84207.0,84207.0,83953.0,83953.0,0.19267,26
1742677200000,1742680799999,83950.0,84072.0,83838.0,83981.0,0.93690,56
1742680800000,1742684399999,83995.0,84063.0,83943.0,83943.0,0.19134,18
1742684400000,1742687999999,83895.0,83918.0,83643.0,83831.0,0.26021,74
1742688000000,1742691599999,83833.0,84035.0,83833.0,83966.0,0.27691,38
1742691600000,1742695199999,83975.0,84127.0,83963.0,84059.0,0.67191,436
1742695200000,1742698799999,84054.0,84253.0,83986.0,84239.0,0.05720,33
1742698800000,1742702399999,84175.0,84200.0,84150.0,84200.0,0.12918,18
1742702400000,1742705999999,84153.0,84153.0,84066.0,84066.0,0.17567,129
1742706000000,1742709599999,84119.0,84236.0,84106.0,84228.0,1.18412,139
1742709600000,1742713199999,84214.0,84266.0,84188.0,84255.0,0.24631,22
1742713200000,1742716799999,84223.0,84289.0,84201.0,84249.0,0.29211,28
1742716800000,1742720399999,84278.0,84323.0,84278.0,84309.0,0.12315,21
1742720400000,1742723999999,84326.0,84344.0,84295.0,84327.0,1.08250,162
1742724000000,1742727599999,84328.0,84488.0,84327.0,84450.0,0.25514,33
1742727600000,1742731199999,84499.0,84966.0,84499.0,84623.0,7.11113,678
1742731200000,1742734799999,84622.0,84766.0,84547.0,84708.0,0.85290,124
1742734800000,1742738399999,84687.0,85040.0,84629.0,85021.0,0.66248,107
1742738400000,1742741999999,85067.0,85152.0,84843.0,84875.0,2.12753,131
1742742000000,1742745599999,84855.0,85207.0,84855.0,85115.0,3.40542,123
1742745600000,1742749199999,85111.0,85336.0,84967.0,85246.0,3.66077,159
1742749200000,1742752799999,85253.0,85374.0,84889.0,84956.0,1.17223,74
1742752800000,1742756399999,84956.0,85039.0,84811.0,84960.0,7.06675,340
1742756400000,1742759999999,84972.0,85080.0,84926.0,84996.0,9.87848,402
1742760000000,1742763599999,85033.0,85249.0,85033.0,85105.0,10.08828,545
1742763600000,1742767199999,85105.0,85142.0,84927.0,85142.0,0.76843,66
1742767200000,1742770799999,85159.0,85668.0,85159.0,85365.0,5.63445,345
1742770800000,1742774399999,85400.0,86098.0,85400.0,86054.0,3.32747,215
1742774400000,1742777999999,86086.0,86583.0,85892.0,86029.0,5.92055,370
1742778000000,1742781599999,86032.0,86046.0,85580.0,85580.0,3.24977,234
1742781600000,1742785199999,85574.0,85971.0,85570.0,85910.0,0.41238,89
1742785200000,1742788799999,85920.0,86572.0,85920.0,86563.0,7.27246,409
1742788800000,1742792399999,86572.0,86934.0,86572.0,86879.0,4.34064,163
1742792400000,1742795999999,86913.0,87052.0,86879.0,86937.0,2.56056,230
1742796000000,1742799599999,86965.0,87330.0,86947.0,87129.0,2.64140,146
1742799600000,1742803199999,87149.0,87184.0,86789.0,86896.0,0.95186,126
1742803200000,1742806799999,86892.0,87504.0,86889.0,87440.0,2.46096,150
1742806800000,1742810399999,87429.0,87507.0,87154.0,87206.0,0.46929,157
1742810400000,1742813999999,87179.0,87855.0,87162.0,87793.0,1.21414,128
1742814000000,1742817599999,87797.0,87832.0,87536.0,87680.0,1.59396,230
1742817600000,1742821199999,87692.0,87692.0,87263.0,87330.0,1.58398,193
1742821200000,1742824799999,87349.0,87714.0,87154.0,87670.0,2.79326,201
1742824800000,1742828399999,87750.0,88754.0,87670.0,87922.0,15.19632,980
1742828400000,1742831999999,87931.0,88357.0,87678.0,88333.0,19.81978,1533
1742832000000,1742835599999,88352.0,88508.0,87718.0,88060.0,15.02353,965
1742835600000,1742839199999,88060.0,88472.0,87946.0,88467.0,17.15382,1065
1742839200000,1742842799999,88465.0,88540.0,88149.0,88540.0,7.72012,565
1742842800000,1742846399999,88500.0,88500.0,87983.0,88287.0,1.28710,200
1742846400000,1742849999999,88252.0,88508.0,87831.0,87846.0,13.65388,1034
1742850000000,1742853599999,87846.0,88294.0,87831.0,88150.0,9.00968,753
1742853600000,1742857199999,88162.0,88207.0,87367.0,87444.0,11.61311,901
1742857200000,1742860799999,87449.0,87530.0,87105.0,87497.0,0.57340,96
1742860800000,1742864399999,87511.0,87673.0,87283.0,87613.0,0.36633,82
1742864400000,1742867999999,87600.0,87607.0,86827.0,87048.0,1.43830,146
1742868000000,1742871599999,87016.0,87062.0,86843.0,86859.0,0.40799,85
1742871600000,1742875199999,86859.0,86961.0,86379.0,86539.0,20.32406,719
1742875200000,1742878799999,86546.0,86653.0,86355.0,86539.0,1.38845,138
1742878800000,1742882399999,86557.0,86819.0,86476.0,86725.0,1.89132,282
1742882400000,1742885999999,86725.0,86917.0,86590.0,86633.0,0.62384,104
1742886000000,1742889599999,86586.0,86852.0,86391.0,86513.0,0.41126,110
1742889600000,1742893199999,86482.0,86765.0,86465.0,86712.0,3.06471,171
1742893200000,1742896799999,86726.0,87331.0,86656.0,87271.0,1.46595,199
1742896800000,1742900399999,87235.0,87288.0,86974.0,87142.0,0.70810,111
1742900400000,1742903999999,87142.0,87498.0,87064.0,87407.0,0.98030,104
1742904000000,1742907599999,87393.0,87444.0,86970.0,87074.0,1.09226,165
1742907600000,1742911199999,87098.0,87938.0,87085.0,87646.0,1.22886,268
1742911200000,1742914799999,87635.0,88208.0,87375.0,88044.0,4.13135,393
1742914800000,1742918399999,88077.0,88279.0,87741.0,87811.0,8.13968,832
1742918400000,1742921999999,87854.0,88009.0,87630.0,87805.0,18.52917,1407
1742922000000,1742925599999,87830.0,88338.0,87830.0,87972.0,10.75723,790
1742925600000,1742929199999,87951.0,88068.0,87596.0,87836.0,16.18403,1161
1742929200000,1742932799999,87868.0,88274.0,87852.0,88144.0,3.30672,375
1742932800000,1742936399999,88185.0,88550.0,87853.0,87861.0,5.30260,436
1742936400000,1742939999999,87896.0,88236.0,87757.0,87783.0,8.22287,879
1742940000000,1742943599999,87753.0,87845.0,87219.0,87522.0,4.26994,351
1742943600000,1742947199999,87502.0,87540.0,87182.0,87428.0,11.62206,631
1742947200000,1742950799999,87423.0,87845.0,87254.0,87670.0,8.29449,473
1742950800000,1742954399999,87685.0,87921.0,87589.0,87869.0,9.33383,929
1742954400000,1742957999999,87870.0,87870.0,87325.0,87355.0,1.78656,374
1742958000000,1742961599999,87361.0,87436.0,87062.0,87163.0,7.07597,709
1742961600000,1742965199999,87187.0,87476.0,87089.0,87347.0,6.89197,976
1742965200000,1742968799999,87357.0,87646.0,87240.0,87537.0,8.01231,737
1742968800000,1742972399999,87550.0,87958.0,87464.0,87932.0,7.73819,804
1742972400000,1742975999999,87940.0,88316.0,87783.0,88164.0,15.08572,1297
1742976000000,1742979599999,88172.0,88239.0,87898.0,87971.0,13.89172,1036
1742979600000,1742983199999,87976.0,88071.0,87853.0,87973.0,17.25581,1072
1742983200000,1742986799999,87971.0,88301.0,87962.0,88241.0,19.33352,1304
1742986800000,1742990399999,88252.0,88280.0,87972.0,87982.0,4.48755,515
1742990400000,1742993999999,87994.0,88048.0,87611.0,87828.0,17.95883,1447
1742994000000,1742997599999,87829.0,87926.0,86755.0,86866.0,10.25848,886
1742997600000,1743001199999,86837.0,87261.0,86426.0,86760.0,15.98684,1376
1743001200000,1743004799999,86753.0,87036.0,86550.0,86767.0,28.89002,1967
1743004800000,1743008399999,86767.0,87087.0,86439.0,86513.0,13.13310,976
1743008400000,1743011999999,86514.0,86848.0,86485.0,86570.0,13.87770,972
1743012000000,1743015599999,86594.0,86766.0,86179.0,86213.0,13.44743,734
1743015600000,1743019199999,86272.0,86804.0,85872.0,86600.0,9.06395,1085
1743019200000,1743022799999,86548.0,87422.0,86522.0,87287.0,17.35686,1242
1743022800000,1743026399999,87300.0,87314.0,86735.0,87124.0,14.22725,1113
1743026400000,1743029999999,87126.0,87158.0,86767.0,86828.0,6.78554,783
1743030000000,1743033599999,86850.0,86967.0,86573.0,86925.0,8.66032,860
1743033600000,1743037199999,86922.0,87331.0,86811.0,87292.0,9.10512,933
1743037200000,1743040799999,87303.0,87532.0,87200.0,87395.0,11.51372,1142
1743040800000,1743044399999,87407.0,87768.0,87374.0,87590.0,9.21459,916
1743044400000,1743047999999,87585.0,87698.0,87454.0,87680.0,7.37910,703
1743048000000,1743051599999,87703.0,87713.0,87438.0,87540.0,7.43920,683
1743051600000,1743055199999,87543.0,87543.0,87273.0,87325.0,9.17564,579
1743055200000,1743058799999,87324.0,87562.0,87311.0,87369.0,7.92184,823
1743058800000,1743062399999,87379.0,87459.0,87266.0,87421.0,8.57638,743
1743062400000,1743065999999,87417.0,87622.0,87267.0,87455.0,7.96047,922
1743066000000,1743069599999,87461.0,87562.0,87402.0,87427.0,14.39194,908
1743069600000,1743073199999,87437.0,87608.0,87128.0,87214.0,12.90886,848
1743073200000,1743076799999,87205.0,87331.0,86816.0,86959.0,9.15484,811
1743076800000,1743080399999,86957.0,87117.0,86737.0,86781.0,13.04096,981
1743080400000,1743083999999,86775.0,86879.0,85838.0,86375.0,6.12418,968
1743084000000,1743087599999,86370.0,87309.0,86212.0,87289.0,5.07761,636
1743087600000,1743091199999,87287.0,87556.0,86768.0,86979.0,3.35723,270
1743091200000,1743094799999,86915.0,87254.0,86825.0,86825.0,0.29916,160
1743094800000,1743098399999,86842.0,87115.0,86822.0,86911.0,0.18815,251
1743098400000,1743101999999,86905.0,87399.0,86902.0,87211.0,0.40850,204
1743102000000,1743105599999,87217.0,87402.0,87025.0,87030.0,0.16166,161
1743105600000,1743109199999,87075.0,87331.0,86942.0,87292.0,0.67158,140
1743109200000,1743112799999,87311.0,87723.0,87233.0,87560.0,2.62491,234
1743112800000,1743116399999,87562.0,87607.0,87299.0,87340.0,14.32332,891
1743116400000,1743119999999,87333.0,87366.0,87112.0,87217.0,16.32035,973
1743120000000,1743123599999,87216.0,87386.0,86935.0,87332.0,10.45006,852
1743123600000,1743127199999,87348.0,87492.0,87101.0,87218.0,10.55921,886
1743127200000,1743130799999,87224.0,87303.0,86929.0,86964.0,9.13577,658
1743130800000,1743134399999,86979.0,87008.0,86737.0,86768.0,12.75002,1060
1743134400000,1743137999999,86780.0,86823.0,85941.0,86280.0,9.30994,1003
1743138000000,1743141599999,86280.0,86280.0,85802.0,86050.0,7.30317,912
1743141600000,1743145199999,86037.0,86224.0,85654.0,85697.0,10.26148,1061
1743145200000,1743148799999,85681.0,85852.0,85139.0,85182.0,6.51852,984
