open_time,close_time,open,high,low,close,volume,trades
1743984000000,1743987599999,1579.5,1584.0,1553.6,1571.8,202.2923,660
1743987600000,1743991199999,1571.9,1612.7,1571.0,1600.7,209.7068,588
1743991200000,1743994799999,1598.0,1599.8,1573.1,1578.1,83.1923,227
1743994800000,1743998399999,1578.2,1581.0,1524.6,1541.9,200.6831,339
1743998400000,1744001999999,1544.0,1557.4,1534.6,1547.2,251.4806,600
1744002000000,1744005599999,1546.8,1559.0,1535.8,1538.2,166.4417,418
1744005600000,1744009199999,1538.8,1550.0,1415.4,1431.0,724.7168,1338
1744009200000,1744012799999,1430.7,1475.2,1430.7,1460.0,497.3679,1065
1744012800000,1744016399999,1461.0,1508.6,1455.5,1493.7,309.5942,624
1744016400000,1744019999999,1494.3,1504.2,1476.4,1484.7,310.8205,481
1744020000000,1744023599999,1484.0,1518.0,1482.5,1490.7,244.9326,418
1744023600000,1744027199999,1494.0,1502.0,1476.0,1481.5,190.3176,317
1744027200000,1744030799999,1483.5,1525.3,1479.0,1519.1,376.3499,625
1744030800000,1744034399999,1518.0,1554.9,1488.0,1550.0,417.6045,764
1744034400000,1744037999999,1549.3,1631.7,1540.0,1570.9,1203.0675,2036
1744038000000,1744041599999,1568.9,1576.0,1538.0,1556.0,409.4720,762
1744041600000,1744045199999,1554.0,1556.0,1526.1,1528.4,187.5064,398
1744045200000,1744048799999,1528.6,1571.6,1528.6,1565.5,258.4833,582
1744048800000,1744052399999,1565.2,1570.6,1548.0,1549.8,348.8896,633
1744052400000,1744055999999,1549.3,1562.0,1544.0,1544.0,157.3526,415
1744056000000,1744059599999,1545.1,1578.0,1545.1,1568.6,72.1258,131
1744059600000,1744063199999,1570.5,1575.0,1556.0,1568.0,89.5693,230
1744063200000,1744066799999,1567.9,1584.0,1566.0,1578.6,44.3270,137
1744066800000,1744070399999,1578.1,1581.0,1551.1,1551.1,68.6757,202
