open_time,close_time,open,high,low,close,volume,trades
1743001200000,1743002999999,2001.2,2001.2,2001.2,2001.2,0.0124,1
1743006600000,1743008399999,2000.0,2000.0,2000.0,2000.0,0.0176,1
1743008400000,1743010199999,4000.0,4000.0,4000.0,4000.0,0.0042,1
1743012000000,1743013799999,4000.0,4000.0,4000.0,4000.0,0.0024,1
1743024600000,1743026399999,3045.0,3045.0,3045.0,3045.0,0.0103,2
1743028200000,1743029999999,3045.0,3045.0,3045.0,3045.0,0.0035,1
1743066000000,1743067799999,3044.0,3044.0,3044.0,3044.0,0.0057,1
1743069600000,1743071399999,2045.0,2050.0,2030.0,2030.0,0.0723,4
1743071400000,1743073199999,1951.0,1951.0,1951.0,1951.0,0.0154,1
1743076800000,1743078599999,2034.0,2059.0,2034.0,2059.0,0.0302,2
1743078600000,1743080399999,2050.0,2050.0,2050.0,2050.0,0.0049,1
1743080400000,1743082199999,2035.0,2035.0,2013.6,2013.6,1.0618,27
1743082200000,1743083999999,2013.6,2050.0,1993.4,2050.0,4.6637,102
1743084000000,1743085799999,2050.0,2050.0,2050.0,2050.0,0.1081,1
1743085800000,1743087599999,2010.1,2026.0,2006.7,2026.0,18.5970,23
1743087600000,1743089399999,2024.3,2027.6,2020.5,2020.5,14.1493,105
1743089400000,1743091199999,2020.3,2021.6,2001.9,2006.5,18.9402,224
1743091200000,1743092999999,2006.3,2017.3,2004.8,2008.7,35.2485,416
1743093000000,1743094799999,2007.7,2012.9,2001.3,2001.3,28.5534,204
1743094800000,1743096599999,2002.4,2007.2,2001.6,2005.2,25.6335,34
1743096600000,1743098399999,2003.2,2007.1,1995.5,2000.0,50.6435,172
1743098400000,1743100199999,2000.3,2006.8,2000.0,2003.2,4.2389,31
1743100200000,1743101999999,2005.1,2014.9,2004.5,2011.2,4.6491,29
1743102000000,1743103799999,2009.9,2013.4,2006.7,2012.1,1.9509,12
1743103800000,1743105599999,2011.2,2011.6,2005.2,2005.2,1.0173,10
1743105600000,1743107399999,2003.2,2008.8,2001.2,2007.2,1.4409,16
1743107400000,1743109199999,2009.2,2010.8,2006.3,2007.2,2.6839,19
1743109200000,1743110999999,2007.2,2012.9,2003.8,2010.8,4.1783,45
1743111000000,1743112799999,2009.3,2019.0,2009.2,2017.6,14.9267,151
1743112800000,1743114599999,2018.4,2018.8,2011.6,2011.6,4.8262,70
1743114600000,1743116399999,2012.3,2012.3,2007.9,2008.5,3.1440,36
1743116400000,1743118199999,2008.0,2008.0,2000.7,2006.2,2.7394,23
1743118200000,1743119999999,2007.3,2007.9,2001.5,2003.0,1.7983,17
1743120000000,1743121799999,2003.6,2003.7,1995.9,1995.9,3.9549,28
1743121800000,1743123599999,1995.8,2006.9,1993.0,2005.1,6.9729,60
1743123600000,1743125399999,2005.1,2005.1,1996.0,2001.4,24.6577,211
1743125400000,1743127199999,2001.0,2015.0,2000.9,2009.8,8.0021,75
1743127200000,1743128999999,2009.4,2015.4,2006.6,2012.4,13.8381,80
1743129000000,1743130799999,2012.6,2012.6,2006.1,2007.1,52.6891,230
1743130800000,1743132599999,2007.6,2008.1,1996.6,1997.2,69.1926,242
1743132600000,1743134399999,1996.3,2001.0,1996.0,2000.3,18.3758,137
1743134400000,1743136199999,1999.8,2004.3,1997.8,2000.3,4.1197,39
1743136200000,1743137999999,1998.6,1998.6,1909.5,1937.0,80.3851,323
1743138000000,1743139799999,1937.6,1937.6,1912.2,1912.3,33.1751,181
1743139800000,1743141599999,1915.4,1921.7,1911.4,1920.8,11.8502,61
1743141600000,1743143399999,1915.0,1928.1,1912.3,1925.4,0.9869,12
1743143400000,1743145199999,1923.3,1924.3,1912.5,1914.0,3.7874,32
1743145200000,1743146999999,1915.5,1919.8,1913.2,1913.2,1.4062,19
1743147000000,1743148799999,1916.7,1916.7,1904.5,1910.4,8.6897,52
1743148800000,1743150599999,1909.7,1916.8,1909.7,1912.5,2.2722,21
1743150600000,1743152399999,1905.6,1909.0,1905.0,1909.0,1.6319,11
1743152400000,1743154199999,1907.2,1910.9,1902.3,1910.9,7.9262,43
1743154200000,1743155999999,1913.8,1914.5,1909.8,1909.8,1.0186,8
1743156000000,1743157799999,1908.5,1914.0,1908.4,1914.0,0.5127,10
1743157800000,1743159599999,1914.5,1915.3,1907.8,1907.8,0.5164,8
1743159600000,1743161399999,1909.0,1921.7,1867.0,1897.0,25.3722,133
1743161400000,1743163199999,1897.8,1904.0,1887.5,1899.4,18.7199,87
1743163200000,1743164999999,1900.0,1901.3,1887.0,1896.8,10.4854,85
1743165000000,1743166799999,1896.3,1900.9,1881.5,1885.2,20.5649,122
1743166800000,1743168599999,1886.3,1899.7,1881.7,1894.7,8.3172,64
1743168600000,1743170399999,1895.8,1901.4,1886.2,1888.8,7.8476,71
1743170400000,1743172199999,1886.6,1890.2,1876.8,1888.7,14.5810,86
1743172200000,1743173999999,1888.4,1893.2,1884.2,1886.8,5.1795,44
1743174000000,1743175799999,1885.3,1887.7,1879.3,1881.4,7.3031,62
1743175800000,1743177599999,1881.7,1885.3,1871.7,1873.2,10.6235,48
1743177600000,1743179399999,1872.8,1877.4,1862.3,1874.7,8.5611,58
1743179400000,1743181199999,1871.8,1877.4,1863.5,1869.8,9.1463,50
