open_time,close_time,open,high,low,close,volume,trades
1760140800000,1760142599999,3837.7,3884.7,3762.5,3852.4,1204.3912,2185
1760142600000,1760144399999,3853.0,3877.2,3824.5,3844.1,510.7758,1888
1760144400000,1760146199999,3843.2,3846.2,3760.9,3768.2,5434.2790,3218
1760146200000,1760147999999,3768.3,3800.8,3735.7,3739.4,392.0559,1418
1760148000000,1760149799999,3739.0,3819.9,3735.7,3809.1,483.1880,1225
1760149800000,1760151599999,3809.8,3863.7,3809.8,3846.6,267.7075,883
1760151600000,1760153399999,3846.1,3853.0,3776.3,3785.1,224.3559,991
1760153400000,1760155199999,3782.1,3801.0,3762.1,3796.6,591.7095,1232
1760155200000,1760156999999,3796.2,3822.6,3789.6,3811.9,126.6540,938
1760157000000,1760158799999,3814.1,3821.8,3785.0,3821.8,218.6772,997
1760158800000,1760160599999,3824.3,3837.3,3769.8,3773.8,881.4675,1222
1760160600000,1760162399999,3774.2,3806.7,3773.3,3794.9,270.8538,969
1760162400000,1760164199999,3793.7,3820.0,3782.6,3808.3,258.2845,1096
1760164200000,1760165999999,3808.7,3810.2,3779.7,3787.0,267.2759,965
1760166000000,1760167799999,3788.5,3790.3,3758.0,3770.9,378.0464,1192
1760167800000,1760169599999,3769.3,3776.4,3739.7,3762.6,196.1884,1059
1760169600000,1760171399999,3762.7,3818.5,3753.9,3803.1,291.4797,1159
1760171400000,1760173199999,3803.9,3826.2,3792.0,3820.5,1213.7070,1382
1760173200000,1760174999999,3820.1,3850.0,3816.9,3832.3,260.0112,958
1760175000000,1760176799999,3832.5,3845.5,3822.2,3833.7,1192.8371,1666
1760176800000,1760178599999,3832.7,3858.2,3822.0,3858.2,336.1367,795
1760178600000,1760180399999,3857.7,3861.2,3830.6,3837.6,428.0769,886
1760180400000,1760182199999,3836.7,3836.9,3792.5,3825.1,514.9325,1085
1760182200000,1760183999999,3825.9,3845.4,3817.9,3843.5,290.1508,786
1760184000000,1760185799999,3842.2,3848.9,3826.1,3848.9,135.1558,583
1760185800000,1760187599999,3847.5,3848.1,3809.5,3826.6,314.8694,1037
1760187600000,1760189399999,3826.6,3831.6,3813.7,3823.2,350.0330,665
1760189400000,1760191199999,3823.3,3840.4,3793.0,3835.9,146.2759,821
1760191200000,1760192999999,3836.1,3840.7,3802.6,3808.6,157.9658,857
1760193000000,1760194799999,3807.3,3819.2,3803.7,3818.2,192.2615,827
1760194800000,1760196599999,3817.4,3858.3,3817.4,3842.4,608.5205,824
1760196600000,1760198399999,3841.9,3842.6,3819.6,3828.4,216.5150,778
1760198400000,1760200199999,3828.5,3850.6,3821.4,3834.9,130.5210,519
1760200200000,1760201999999,3834.4,3835.8,3812.3,3823.8,223.4929,381
1760202000000,1760203799999,3823.4,3846.0,3819.2,3839.8,556.4949,678
1760203800000,1760205599999,3837.2,3839.4,3818.0,3829.3,118.2013,538
1760205600000,1760207399999,3828.8,3828.9,3819.0,3819.4,131.0880,300
1760207400000,1760209199999,3819.5,3829.1,3815.5,3819.5,40.8910,310
1760209200000,1760210999999,3818.3,3818.3,3754.5,3773.7,310.0571,693
1760211000000,1760212799999,3772.1,3772.1,3731.8,3763.2,1344.8166,1140
1760212800000,1760214599999,3763.1,3769.3,3715.9,3725.3,1123.7130,1106
1760214600000,1760216399999,3724.1,3727.7,3667.9,3700.5,1162.6597,1384
1760216400000,1760218199999,3699.9,3747.2,3650.0,3727.7,1356.7305,1403
1760218200000,1760219999999,3727.3,3744.4,3715.5,3739.2,371.3163,707
1760220000000,1760221799999,3739.2,3750.8,3730.6,3745.2,196.7232,565
1760221800000,1760223599999,3746.7,3765.9,3743.8,3747.5,66.1492,426
1760223600000,1760225399999,3747.0,3752.8,3736.8,3751.0,122.2984,740
1760225400000,1760227199999,3751.0,3755.8,3745.4,3750.2,118.2728,497
